tx_date,file_date,last_name,first_name,order_type,ticker,asset_name,tx_amount,link,tx_amount_num,trade_date,date_only,open,close,movement,trade_flag
2022-01-14,2022-02-14,Tuberville,Thomas H,Sale (Full),AAPL,Apple Inc. - Common Stock,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,15001.0,2022-01-14,2022-01-14,167.84,169.53,Up,Sold while Up
2022-02-24,2022-03-23,Wyden,Ron L,Sale (Partial),AAPL,Apple Inc. - Common Stock,"$50,001 - $100,000",https://efdsearch.senate.gov/search/view/ptr/e1ecd5de-aabb-4dfc-ae6e-3862b8df2673/,50001.0,2022-02-24,2022-02-24,149.69,159.65,Up,Sold while Up
2022-02-24,2022-03-23,Wyden,Ron L,Purchase,AAPL,Apple Inc. - Common Stock,"$50,001 - $100,000",https://efdsearch.senate.gov/search/view/ptr/e1ecd5de-aabb-4dfc-ae6e-3862b8df2673/,50001.0,2022-02-24,2022-02-24,149.69,159.65,Up,Aligned
2023-03-07,2023-04-03,Carper,Thomas R,Sale (Partial),AAPL,Apple Inc. - Common Stock,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/83caeb49-28d0-4805-8599-c6d92c3afdd7/,15001.0,2023-03-07,2023-03-07,151.6,149.57,Down,Aligned
2023-08-22,2023-09-22,Sullivan,Daniel S,Sale (Full),AAPL,Apple Inc,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/f9252211-a695-4c37-869a-0e223fce8d88/,15001.0,2023-08-22,2023-08-22,175.19,175.35,Up,Sold while Up
2023-08-22,2023-09-18,Sullivan,Daniel S,Sale (Full),AAPL,Apple Inc,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/58c402ff-7995-4e0a-809d-b08544832300/,15001.0,2023-08-22,2023-08-22,175.19,175.35,Up,Sold while Up
2023-09-07,2023-10-13,Tuberville,Thomas H,Sale (Partial),AAPL,Apple Inc. - Common Stock,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/3eb948ba-1409-4224-86d9-1236de63d137/,15001.0,2023-09-07,2023-09-07,173.34,175.69,Up,Sold while Up
2023-09-13,2023-10-12,Mullin,Markwayne,Purchase,AAPL,Apple Inc. - Common Stock,"$50,001 - $100,000",https://efdsearch.senate.gov/search/view/ptr/7810aff4-67d6-44e9-8464-9267478cbe5f/,50001.0,2023-09-13,2023-09-13,174.64,172.36,Down,Bought while Down
2024-01-02,2024-01-26,Mullin,Markwayne,Purchase,AAPL,Apple Inc. - Common Stock,"$50,001 - $100,000",https://efdsearch.senate.gov/search/view/ptr/3b2aaa94-9d74-4a18-8319-539e4f2e92f4/,50001.0,2024-01-02,2024-01-02,185.43,183.8,Down,Bought while Down
2024-01-19,2024-02-14,Tuberville,Thomas H,Sale (Full),AAPL,Apple Inc. - Common Stock,"$250,001 - $500,000",https://efdsearch.senate.gov/search/view/ptr/3dabcae6-b7fd-4dd0-9ece-e936d07def11/,250001.0,2024-01-19,2024-01-19,187.64,189.8,Up,Sold while Up
2024-01-03,2024-02-14,Tuberville,Thomas H,Sale (Partial),AAPL,Apple Inc. - Common Stock,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/3dabcae6-b7fd-4dd0-9ece-e936d07def11/,15001.0,2024-01-03,2024-01-03,182.58,182.53,Down,Aligned
2024-03-12,2024-04-15,Tuberville,Thomas H,Sale (Full),AAPL,Apple Inc,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/35ffbe5d-3eb2-475c-a18b-68ebedb5bc3b/,15001.0,2024-03-12,2024-03-12,171.8,171.83,Up,Sold while Up
2024-08-26,2024-09-13,Tuberville,Thomas H,Sale (Full),AAPL,Apple Inc. - Common Stock,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/ff447117-d7c4-47fd-83c7-a34d39192b71/,15001.0,2024-08-26,2024-08-26,225.51,225.96,Up,Sold while Up
2024-10-29,2024-11-15,Tuberville,Thomas H,Sale (Full),AAPL,Apple Inc. - Common Stock,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/fb8e7c07-ad6c-48e0-a6af-de9bf58827d6/,15001.0,2024-10-29,2024-10-29,231.97,232.46,Up,Sold while Up
2024-12-19,2025-01-08,Whitehouse,Sheldon,Sale (Partial),AAPL,Apple Inc,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/70c80513-d89a-4382-afa6-d80f6c1fcbf1/,15001.0,2024-12-19,2024-12-19,246.4,248.74,Up,Sold while Up
2025-01-10,2025-02-14,Tuberville,Thomas H,Sale (Full),AAPL,Apple Inc,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/b52d72ba-b052-42c7-9ced-2d0b392a1691/,15001.0,2025-01-10,2025-01-10,238.94,235.88,Down,Aligned
