tx_date,file_date,last_name,first_name,order_type,ticker,asset_name,tx_amount,Link,filed_timestamp,TimeOfFiled,Mean Amount,BUY/SELL
9/19/2022,10/4/2022,Carper,Thomas R,Sale (Full),SH,ProShares Short S&P500,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/008809fb-0861-4493-ba69-6520d89fd4ac/,,10/4/2022 11:06,32501,-32501
9/19/2022,10/4/2022,Carper,Thomas R,Sale (Full),SH,ProShares Short S&P500,"$1,001 - $15,000",https://efdsearch.senate.gov/search/view/ptr/008809fb-0861-4493-ba69-6520d89fd4ac/,,10/4/2022 11:06,8001,-8001
9/19/2022,10/4/2022,Carper,Thomas R,Sale (Full),SH,ProShares Short S&P500,"$1,001 - $15,000",https://efdsearch.senate.gov/search/view/ptr/008809fb-0861-4493-ba69-6520d89fd4ac/,,10/4/2022 11:06,8001,-8001
9/8/2022,10/4/2022,Carper,Thomas R,Sale (Full),SQM,Sociedad Quimica y Minera S.A. Common Stock,"$1,001 - $15,000",https://efdsearch.senate.gov/search/view/ptr/008809fb-0861-4493-ba69-6520d89fd4ac/,,10/4/2022 11:06,8001,-8001
8/1/2025,8/18/2025,Mullin,Markwayne,Sale (Partial),UNH,UnitedHealth Group Incorporated Common Stock (DE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/00c60997-1b79-476b-880c-03394be78302/,,8/18/2025 18:09,32501,-32501
8/4/2025,9/3/2025,Capito,Shelley M,Sale (Partial),BLK,Blackrock Inc,"$1,001 - $15,000",https://efdsearch.senate.gov/search/view/ptr/0132a900-988f-466c-919d-73dfb4238889/,,9/3/2025 11:26,8001,-8001
8/1/2025,9/3/2025,Capito,Shelley M,Purchase,PLD,Prologis Inc,"$1,001 - $15,000",https://efdsearch.senate.gov/search/view/ptr/0132a900-988f-466c-919d-73dfb4238889/,,9/3/2025 11:26,8001,8001
8/1/2025,9/3/2025,Capito,Shelley M,Purchase,SHW,Sherwin-Williams Company,"$1,001 - $15,000",https://efdsearch.senate.gov/search/view/ptr/0132a900-988f-466c-919d-73dfb4238889/,,9/3/2025 11:26,8001,8001
5/19/2023,6/20/2023,"King, Jr.",Angus S,Sale (Full),MMM,3M Company Common Stock,"$1,001 - $15,000",https://efdsearch.senate.gov/search/view/ptr/0165d493-3c0e-4404-a4f0-dd99c1f95160/,,6/20/2023 8:07,8001,-8001
11/30/2022,7/26/2023,Sullivan,Daniel S,Sale (Full),ADBE,Adobe Inc. - Common Stock,"$1,001 - $15,000",https://efdsearch.senate.gov/search/view/ptr/016757b7-4990-4541-a2e6-3058ea8b0bfe/,,7/26/2023 10:50,8001,-8001
