tx_date,file_date,last_name,first_name,order_type,ticker,asset_name,tx_amount,link,tx_amount_num
2025-11-25,2025-11-27,McCormick,David H,Purchase,BITB,Bitwise Bitcoin ETF,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/5d118fc0-14f4-426a-8d38-05056392b4d8/,15001.0
2025-11-24,2025-11-27,McCormick,David H,Purchase,BITB,Bitwise Bitcoin ETF,"$50,001 - $100,000",https://efdsearch.senate.gov/search/view/ptr/5d118fc0-14f4-426a-8d38-05056392b4d8/,50001.0
2025-11-21,2025-11-26,Smith,Tina,Sale (Full),HBAN,Huntington Bancshares Incorporated - Common Stock,"$100,001 - $250,000",https://efdsearch.senate.gov/search/view/ptr/82093483-e915-4a5d-bb4b-e40431d79f99/,100001.0
2025-11-03,2025-11-21,Mullin,Markwayne,Sale (Full),FI,Fiserv Inc,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/849c731f-a2a7-4ed8-91ad-8fee325ab75e/,15001.0
2025-11-03,2025-11-21,Mullin,Markwayne,Sale (Full),CMG,"Chipotle Mexican Grill, Inc. Common Stock","$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/849c731f-a2a7-4ed8-91ad-8fee325ab75e/,15001.0
2025-11-03,2025-11-21,Mullin,Markwayne,Purchase,MSFT,Microsoft Corporation,"$250,001 - $500,000",https://efdsearch.senate.gov/search/view/ptr/849c731f-a2a7-4ed8-91ad-8fee325ab75e/,250001.0
2025-11-03,2025-11-21,Mullin,Markwayne,Sale (Full),BRK.B,Berkshire Hathaway Cl B,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/849c731f-a2a7-4ed8-91ad-8fee325ab75e/,15001.0
2025-11-03,2025-11-21,Mullin,Markwayne,Sale (Full),TMUS,"T-Mobile US, Inc. - Common Stock","$50,001 - $100,000",https://efdsearch.senate.gov/search/view/ptr/849c731f-a2a7-4ed8-91ad-8fee325ab75e/,50001.0
2025-10-07,2025-11-15,Tuberville,Thomas H,Sale (Full),PEP,Pepsico Inc,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/c20df8d3-0160-4a0c-a515-a7b1d2956f87/,15001.0
2025-10-07,2025-11-15,Tuberville,Thomas H,Sale (Full),OC,Owens Corning Inc,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/c20df8d3-0160-4a0c-a515-a7b1d2956f87/,15001.0
2025-10-07,2025-11-15,Tuberville,Thomas H,Sale (Full),MSFT,Microsoft Corporation,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/c20df8d3-0160-4a0c-a515-a7b1d2956f87/,15001.0
2025-10-07,2025-11-15,Tuberville,Thomas H,Sale (Full),AAPL,Apple Inc,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/c20df8d3-0160-4a0c-a515-a7b1d2956f87/,15001.0
2025-10-07,2025-11-15,Tuberville,Thomas H,Sale (Full),GOOGL,Alphabet Inc. - Class A Common Stock,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/c20df8d3-0160-4a0c-a515-a7b1d2956f87/,15001.0
2025-10-07,2025-11-15,Tuberville,Thomas H,Sale (Full),ORCL,Oracle Corporation Common Stock,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/c20df8d3-0160-4a0c-a515-a7b1d2956f87/,15001.0
2025-10-03,2025-11-15,Boozman,John,Sale (Full),EMLP,First Trust North American Energy Infrastructure F,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/6be39035-04e2-432c-8fcb-0b4866041d11/,15001.0
2025-10-03,2025-11-15,Boozman,John,Purchase,EIPI,First Trust Exchange-Traded Fund VIII FT Energy In,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/97a4172e-e2d9-4dea-9014-d8aa2134d628/,15001.0
2025-11-11,2025-11-12,Cruz,Rafael E,Sale (Partial),GS,Goldman Sachs Group,"$100,001 - $250,000",https://efdsearch.senate.gov/search/view/ptr/4290febc-6042-4538-a193-08a9f941647c/,100001.0
2025-10-29,2025-11-04,Capito,Shelley M,Sale (Full),MSFT,Microsoft Corporation,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/defd46d8-f9db-46d6-96f9-77bebce203b6/,15001.0
2025-10-29,2025-11-04,Capito,Shelley M,Sale (Partial),IBM,Intl Business Machines,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/defd46d8-f9db-46d6-96f9-77bebce203b6/,15001.0
2025-10-27,2025-11-03,Whitehouse,Sheldon,Sale (Full),PGR,Progressive Corp,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/51a44263-fbff-415d-81fb-abf32d197db9/,15001.0
2025-10-20,2025-11-03,Whitehouse,Sheldon,Sale (Partial),NVDA,Nvidia Corp,"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/51a44263-fbff-415d-81fb-abf32d197db9/,15001.0
2025-08-28,2025-10-10,"Justice, II",James Conley,Sale (Full),PEBO,Peoples Bancorp Inc. - Common Stock,"$250,001 - $500,000",https://efdsearch.senate.gov/search/view/ptr/8ee74188-75a9-4289-b6bd-5ccb94fd6b18/,250001.0
2014-01-31,2014-02-27,Whitehouse,Sheldon,Sale (Full),CLX,The Clorox Company (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/1237c9ae-5171-4e3c-aa4d-41bd4789ce8d/,15001.0
2014-02-10,2014-02-27,Whitehouse,Sheldon,Sale (Partial),AAPL,Apple Inc. (NASDAQ),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/1237c9ae-5171-4e3c-aa4d-41bd4789ce8d/,15001.0
2014-02-10,2014-02-27,Whitehouse,Sheldon,Sale (Full),GIS,"General Mills, Inc. (NYSE)","$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/1237c9ae-5171-4e3c-aa4d-41bd4789ce8d/,15001.0
2014-02-10,2014-02-27,Whitehouse,Sheldon,Sale (Partial),NSRGY,Nestl (OTC Markets),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/1237c9ae-5171-4e3c-aa4d-41bd4789ce8d/,15001.0
2014-01-29,2014-02-27,Whitehouse,Sheldon,Sale (Full),BA,The Boeing Company (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/1237c9ae-5171-4e3c-aa4d-41bd4789ce8d/,15001.0
2014-01-29,2014-02-27,Whitehouse,Sheldon,Sale (Full),SYMC,Symantec Corporation (NASDAQ),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/1237c9ae-5171-4e3c-aa4d-41bd4789ce8d/,15001.0
2014-02-10,2014-02-27,Whitehouse,Sheldon,Purchase,V,Visa Inc. (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/1237c9ae-5171-4e3c-aa4d-41bd4789ce8d/,15001.0
2014-02-10,2014-02-27,Whitehouse,Sheldon,Purchase,NEE,"NextEra Energy, Inc. (NYSE)","$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/1237c9ae-5171-4e3c-aa4d-41bd4789ce8d/,15001.0
2014-02-10,2014-02-27,Whitehouse,Sheldon,Purchase,CMRE,Costamare Inc. (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/1237c9ae-5171-4e3c-aa4d-41bd4789ce8d/,15001.0
2014-02-06,2014-02-27,Cruz,Rafael E,Purchase,BFK,BlackRock Municipal Income Trust (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/2720c946-d861-4079-b392-d2d4bc8af95c/,15001.0
2014-02-21,2014-02-27,Cruz,Rafael E,Purchase,EPD,Enterprise Products Partners L.P. (NYSE),"$50,001 - $100,000",https://efdsearch.senate.gov/search/view/ptr/2720c946-d861-4079-b392-d2d4bc8af95c/,50001.0
2014-03-13,2014-03-26,Whitehouse,Sheldon,Purchase,JPJQL,JP MORGAN CHASE (OTC Markets),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/7f08d6a1-ba72-4fb4-a37c-4ec1d669aa0f/,15001.0
2014-02-19,2014-03-26,Whitehouse,Sheldon,Sale (Full),VAR,"Varian Medical Systems, Inc. (NYSE)","$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/7f08d6a1-ba72-4fb4-a37c-4ec1d669aa0f/,15001.0
2014-03-13,2014-03-26,Whitehouse,Sheldon,Purchase,BEAV,B/E Aerospace Inc. (NASDAQ),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/7f08d6a1-ba72-4fb4-a37c-4ec1d669aa0f/,15001.0
2014-02-19,2014-03-26,Whitehouse,Sheldon,Purchase,V,Visa Inc. (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/7f08d6a1-ba72-4fb4-a37c-4ec1d669aa0f/,15001.0
2014-02-19,2014-03-26,Whitehouse,Sheldon,Sale (Full),CLX,The Clorox Company (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/7f08d6a1-ba72-4fb4-a37c-4ec1d669aa0f/,15001.0
2014-02-19,2014-03-11,Hoeven,John,Purchase,IBM,International Business Machines Corporation (NYSE),"$50,001 - $100,000",https://efdsearch.senate.gov/search/view/ptr/556ca47a-cf91-4f62-bab5-9105616259f5/,50001.0
2014-02-19,2014-03-11,Hoeven,John,Purchase,VFC,V.F. Corporation (NYSE),"$50,001 - $100,000",https://efdsearch.senate.gov/search/view/ptr/556ca47a-cf91-4f62-bab5-9105616259f5/,50001.0
2014-02-19,2014-03-11,Hoeven,John,Purchase,CTSH,Cognizant Technology Solutions Corporation (NASDAQ),"$50,001 - $100,000",https://efdsearch.senate.gov/search/view/ptr/556ca47a-cf91-4f62-bab5-9105616259f5/,50001.0
2014-03-31,2014-04-23,Hoeven,John,Purchase,BUD,Anheuser-Busch InBev SA/NV (NYSE),"$50,001 - $100,000",https://efdsearch.senate.gov/search/view/ptr/baeae9dc-9f34-4204-994c-652b0e4848a2/,50001.0
2014-03-31,2014-04-23,Hoeven,John,Purchase,ABBV,AbbVie Inc. (NYSE),"$50,001 - $100,000",https://efdsearch.senate.gov/search/view/ptr/baeae9dc-9f34-4204-994c-652b0e4848a2/,50001.0
2014-03-14,2014-04-03,Roberts,Pat,Purchase,BAC,Bank of America Corporation (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/f7835d2e-ed40-4319-bfd7-0f8660e43c35/,15001.0
2014-03-07,2014-04-03,Roberts,Pat,Purchase,AAPL,Apple Inc. (NASDAQ),"$50,001 - $100,000",https://efdsearch.senate.gov/search/view/ptr/f7835d2e-ed40-4319-bfd7-0f8660e43c35/,50001.0
2014-03-06,2014-04-03,Roberts,Pat,Purchase,NFLX,"Netflix, Inc. (NASDAQ)","$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/f7835d2e-ed40-4319-bfd7-0f8660e43c35/,15001.0
2014-03-06,2014-04-03,Roberts,Pat,Purchase,NFLX,"Netflix, Inc. (NASDAQ)","$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/f7835d2e-ed40-4319-bfd7-0f8660e43c35/,15001.0
2014-03-06,2014-04-03,Roberts,Pat,Purchase,BIDU,"Baidu, Inc. (NASDAQ)","$50,001 - $100,000",https://efdsearch.senate.gov/search/view/ptr/f7835d2e-ed40-4319-bfd7-0f8660e43c35/,50001.0
2014-03-03,2014-04-03,Roberts,Pat,Sale (Full),BIDU,"Baidu, Inc. (NASDAQ)","$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/f7835d2e-ed40-4319-bfd7-0f8660e43c35/,15001.0
2014-03-03,2014-04-03,Roberts,Pat,Sale (Full),AAPL,Apple Inc. (NASDAQ),"$50,001 - $100,000",https://efdsearch.senate.gov/search/view/ptr/f7835d2e-ed40-4319-bfd7-0f8660e43c35/,50001.0
2014-05-07,2014-05-16,Collins,Susan M,Purchase,WFC,Wells Fargo & Company (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/,15001.0
2014-05-07,2014-05-16,Collins,Susan M,Purchase,UNP,Union Pacific Corporation (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/,15001.0
2014-05-07,2014-05-16,Collins,Susan M,Purchase,SE,Spectra Energy Corp. (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/,15001.0
2014-05-07,2014-05-16,Collins,Susan M,Purchase,RHHBY,Roche Holding AG (OTC Markets),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/,15001.0
2014-05-07,2014-05-16,Collins,Susan M,Purchase,QCOM,QUALCOMM Incorporated (NASDAQ),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/,15001.0
2014-05-07,2014-05-16,Collins,Susan M,Purchase,PEP,"Pepsico, Inc. (NYSE)","$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/,15001.0
2014-04-29,2014-05-15,Whitehouse,Sheldon,Sale (Partial),GIS,"General Mills, Inc. (NYSE)","$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/,15001.0
2014-04-17,2014-05-15,Whitehouse,Sheldon,Sale (Partial),DIS,The Walt Disney Company (NYSE),"$15,001 - $50,000",https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/,15001.0
